date,value
2022-09-21,692496.0
2022-09-28,689569.0
2022-10-05,633939.0
2022-10-12,608302.0
2022-10-19,607199.0
2022-10-26,634548.0
2022-11-02,598544.0
2022-11-09,527479.0
2022-11-16,502982.0
2022-11-23,479474.0
2022-11-30,511474.0
2022-12-07,432335.0
2022-12-14,355517.0
2022-12-21,459780.0
2022-12-28,427926.0
2023-01-04,423625.0
2023-01-11,372340.0
2023-01-18,339018.0
2023-01-25,491848.0
2023-02-01,560089.0
2023-02-08,493277.0
2023-02-15,490379.0
2023-02-22,477333.0
2023-03-01,381245.0
2023-03-08,333350.0
2023-03-15,232866.0
2023-03-22,259587.0
2023-03-29,183577.0
2023-04-05,168793.0
2023-04-12,109208.0
2023-04-19,166555.0
2023-04-26,291702.0
2023-05-03,269216.0
2023-05-10,197666.0
2023-05-17,116220.0
2023-05-24,61952.0
2023-05-31,48954.0
2023-06-07,44756.0
2023-06-14,102118.0
2023-06-21,276850.0
2023-06-28,390571.0
2023-07-05,415441.0
2023-07-12,514337.0
2023-07-19,531135.0
2023-07-26,543597.0
2023-08-02,517459.0
2023-08-09,444594.0
2023-08-16,435795.0
2023-08-23,413787.0
2023-08-30,470800.0
2023-09-06,470881.0
2023-09-13,521507.0
2023-09-20,640296.0
2023-09-27,681143.0
2023-10-04,668009.0
2023-10-11,709160.0
2023-10-18,759878.0
2023-10-25,834418.0
2023-11-01,820487.0
2023-11-08,772686.0
2023-11-15,738562.0
2023-11-22,706017.0
2023-11-29,739209.0
2023-12-06,682509.0
2023-12-13,658440.0
2023-12-20,732196.0
2023-12-27,731405.0
2024-01-03,758448.0
2024-01-10,747565.0
2024-01-17,748883.0
2024-01-24,799358.0
2024-01-31,841550.0
2024-02-07,802135.0
2024-02-14,838005.0
2024-02-21,785465.0
2024-02-28,785821.0
2024-03-06,767733.0
2024-03-13,768369.0
2024-03-20,809298.0
2024-03-27,802233.0
2024-04-03,768651.0
2024-04-10,704971.0
2024-04-17,796535.0
2024-04-24,941430.0
2024-05-01,917177.0
2024-05-08,851591.0
2024-05-15,787133.0
2024-05-22,725376.0
2024-05-29,704335.0
2024-06-05,710309.0
2024-06-12,673573.0
2024-06-19,723410.0
2024-06-26,765417.0
2024-07-03,761373.0
2024-07-10,736402.0
2024-07-17,751593.0
2024-07-24,774315.0
2024-07-31,786486.0
2024-08-07,770931.0
2024-08-14,794120.0
2024-08-21,736494.0
2024-08-28,745851.0
2024-09-04,733959.0
2024-09-11,755958.0
2024-09-18,771194.0
2024-09-25,806771.0
2024-10-02,798277.0
2024-10-09,802115.0
2024-10-16,791792.0
2024-10-23,829991.0
2024-10-30,835237.0
2024-11-06,842051.0
2024-11-13,832186.0
2024-11-20,751873.0
2024-11-27,775250.0
2024-12-04,789516.0
2024-12-11,775067.0
2024-12-18,767932.0
2024-12-25,764770.0
2025-01-01,719873.0
2025-01-08,652636.0
2025-01-15,641225.0
2025-01-22,677282.0
2025-01-29,784206.0
2025-02-05,805593.0
2025-02-12,828102.0
2025-02-19,790062.0
2025-02-26,681161.0
2025-03-05,548331.0
2025-03-12,512581.0
2025-03-19,435936.0
2025-03-26,360177.0
2025-04-02,313326.0
2025-04-09,306049.0
2025-04-16,422983.0
2025-04-23,606632.0
2025-04-30,595741.0
2025-05-07,583727.0
2025-05-14,575846.0
2025-05-21,503055.0
2025-05-28,467204.0
2025-06-04,378947.0
2025-06-11,332907.0
2025-06-18,337762.0
2025-06-25,364375.0
2025-07-02,359516.0
2025-07-09,319889.0
2025-07-16,296247.0
2025-07-23,323176.0
2025-07-30,370507.0
2025-08-06,421043.0
2025-08-13,504304.0
2025-08-20,519534.0
2025-08-27,589998.0
2025-09-03,597513.0
2025-09-10,672274.0
2025-09-17,756376.0
2025-09-24,804856.0
2025-10-01,805139.0
2025-10-08,807428.0
2025-10-15,809593.0
2025-10-22,908001.0
2025-10-29,957990.0
2025-11-05,940979.0
2025-11-12,953816.0
2025-11-19,941926.0
2025-11-26,903394.0
2025-12-03,937167.0
2025-12-10,858946.0
2025-12-17,833093.0
2025-12-24,837120.0
2025-12-31,837306.0
2026-01-07,796148.0
2026-01-14,779175.0
2026-01-21,869261.0
